Order_ID,Region,Category,Product,Salesperson,Quantity,Sales,Year
1001,East,Electronics,Laptop,Alice,2,1200,2023
1002,West,Furniture,Chair,Bob,5,700,2023
1003,North,Clothing,Shirt,Charlie,8,450,2023
1004,South,Electronics,Mobile,David,3,950,2023
1005,East,Furniture,Table,Emma,4,800,2023
1006,West,Clothing,Jeans,Frank,7,650,2023
1007,North,Electronics,Tablet,Alice,2,1100,2023
1008,South,Furniture,Sofa,Bob,6,1500,2023
1009,East,Clothing,Jacket,Charlie,9,900,2023
1010,West,Electronics,Headphones,David,5,1300,2023
1011,North,Furniture,Desk,Emma,3,600,2024
1012,South,Clothing,T-Shirt,Frank,8,500,2024
1013,East,Electronics,Laptop,Alice,1,1250,2024
1014,West,Furniture,Chair,Bob,4,720,2024
1015,North,Clothing,Shirt,Charlie,6,480,2024
1016,South,Electronics,Mobile,David,2,980,2024
1017,East,Furniture,Table,Emma,5,850,2024
1018,West,Clothing,Jeans,Frank,9,690,2024
1019,North,Electronics,Tablet,Alice,3,1120,2024
1020,South,Furniture,Sofa,Bob,7,1550,2024
1021,East,Clothing,Jacket,Charlie,8,940,2025
1022,West,Electronics,Headphones,David,4,1270,2025
1023,North,Furniture,Desk,Emma,2,610,2025
1024,South,Clothing,T-Shirt,Frank,6,530,2025
1025,East,Electronics,Laptop,Alice,3,1180,2025
1026,West,Furniture,Chair,Bob,5,710,2025
1027,North,Clothing,Shirt,Charlie,7,460,2025
1028,South,Electronics,Mobile,David,1,970,2025
1029,East,Furniture,Table,Emma,4,830,2025
1030,West,Clothing,Jeans,Frank,8,675,2025
1031,North,Electronics,Tablet,Alice,2,1150,2026
1032,South,Furniture,Sofa,Bob,6,1490,2026
1033,East,Clothing,Jacket,Charlie,9,910,2026
1034,West,Electronics,Headphones,David,5,1320,2026
1035,North,Furniture,Desk,Emma,3,620,2026
1036,South,Clothing,T-Shirt,Frank,7,520,2026
1037,East,Electronics,Laptop,Alice,2,1210,2026
1038,West,Furniture,Chair,Bob,4,730,2026
1039,North,Clothing,Shirt,Charlie,8,470,2026
1040,South,Electronics,Mobile,David,3,990,2026
